place,name,dist_km,lat,lon,osm_type,osm_id
suburb,Iancului,3.5,44.4418169,26.1418041,node,8865171996
suburb,Ienăchiță Văcărescu,57.7,44.9399068,25.9968863,node,7352952230
suburb,Independenței,8.6,44.3848084,26.0112567,node,8864080326
suburb,Industriilor,8.1,44.4281426,26.2043996,node,8865171994
suburb,Ion Creangă,7.0,44.4714385,26.1638401,node,8867994993
suburb,Istru,61.5,43.8844953,25.9493873,node,8815158358
suburb,Izvor,1.5,44.4307486,26.0849771,node,12137868070
suburb,Leordeni,9.4,44.3808271,26.2025293,node,6536405474
suburb,Lipscani,0.6,44.4318058,26.1015828,node,8864061245
suburb,Lupeni,56.4,44.9322681,26.0401666,node,8195541754
suburb,Malu Mierii,82.4,45.0196326,25.4760335,node,448219604
suburb,Malu Roșu,58.1,44.9443148,25.9983178,node,8185803499
suburb,Matei Basrab,76.7,44.9313535,25.4407286,way,1147865068
suburb,Metalurgiei,6.5,44.3705598,26.1260128,node,8932645689
suburb,Mihai Bravu,57.3,44.9400066,26.0395166,node,8197944053
suburb,Mihai Viteazul,74.3,44.9222257,25.4715915,way,1147918814
suburb,Mihai Vodă,1.1,44.4320344,26.0908587,node,12185053340
suburb,Militari,6.6,44.4349533,26.0206552,node,8867960073
suburb,Mimiu,54.7,44.9156434,26.0210567,node,8189049909
suburb,Mircea Vodă,98.5,44.2131335,27.3042682,node,9135463420
suburb,Mircea cel Bătrân,75.1,44.9280258,25.4661777,way,1147915922
suburb,Mitropoliei,0.6,44.4224408,26.0973281,way,1314400502
suburb,Moțoi,55.9,44.927972,26.0493261,node,8195005042
suburb,Mântuleasa,1.2,44.4354324,26.1124677,node,12187241569
suburb,Mărășești,56.7,44.9321891,26.009943,node,8181310080
